model_family,rank,domain,logodds_score,frequency,percentage,political_leaning,domain_quality
gpt,1,reuters.com,34.089758609189765,1745,22.83134894674866,center_leaning,high_quality
gpt,2,apnews.com,22.219094769126208,936,12.246500065419339,center_leaning,high_quality
gpt,3,ft.com,19.72668143467557,532,6.9606175585503065,center_leaning,high_quality
gpt,4,axios.com,18.426373242001418,511,6.685856339133848,center_leaning,high_quality
gpt,5,time.com,11.430856426013115,299,3.912076409786733,center_leaning,high_quality
gpt,6,as.com,10.625585794926065,187,2.4466832395656155,center_leaning,unknown_quality
gpt,7,theatlantic.com,8.638108015816108,114,1.4915609054036372,left_leaning,high_quality
gpt,8,elpais.com,7.665638321777573,188,2.4597671071568756,left_leaning,high_quality
gpt,9,theguardian.com,6.0307867065357215,49,0.6411095119717388,center_leaning,high_quality
gpt,10,biomedcentral.com,4.636704785380409,29,0.37943216014653935,left_leaning,high_quality
gpt,11,lemonde.fr,4.59300580048964,64,0.8373675258406386,left_leaning,high_quality
gpt,12,asahi.com,2.655207864075208,13,0.17009027868637971,left_leaning,high_quality
gpt,13,knowyourmeme.com,2.5845443532324555,54,0.7065288499280388,left_leaning,high_quality
gpt,14,ipsnews.net,2.5814660092767427,9,0.11775480832133978,left_leaning,unknown_quality
gpt,15,makeuseof.com,2.4888298103466187,24,0.3140128221902394,center_leaning,high_quality
gpt,16,scrippsnews.com,2.381602198939891,12,0.1570064110951197,unknown_leaning,unknown_quality
gpt,17,windowscentral.com,2.3556456921420965,27,0.3532644249640194,center_leaning,unknown_quality
gpt,18,pitchfork.com,2.1075651295127003,6,0.07850320554755985,left_leaning,unknown_quality
gpt,19,abc.net.au,2.1075651295127003,6,0.07850320554755985,center_leaning,high_quality
gpt,20,bizjournals.com,2.0669044571982518,7,0.09158707313881984,center_leaning,high_quality
gemini,1,indiatimes.com,8.382391950014343,233,4.318013343217198,center_leaning,low_quality
gemini,2,livemint.com,6.624592078938963,56,1.0378057820607858,center_leaning,unknown_quality
gemini,3,aljazeera.com,6.510890627279742,133,2.464788732394366,left_leaning,high_quality
gemini,4,thehindu.com,6.1681066559262865,54,1.000741289844329,left_leaning,high_quality
gemini,5,dailymail.co.uk,5.310493053517569,32,0.5930318754633062,center_leaning,low_quality
gemini,6,independent.co.uk,3.7929838715661592,45,0.8339510748702743,center_leaning,high_quality
gemini,7,history.com,3.5849771926621705,24,0.4447739065974796,center_leaning,high_quality
gemini,8,ndtv.com,3.5810898524568944,41,0.759822090437361,center_leaning,high_quality
gemini,9,hindustantimes.com,3.490315452366806,59,1.0934025203854707,center_leaning,high_quality
gemini,10,forbes.com,3.452090894605437,134,2.4833209785025945,center_leaning,high_quality
gemini,11,healthline.com,3.3676395945908313,91,1.6864343958487769,center_leaning,high_quality
gemini,12,cbr.com,3.2002813336867657,75,1.3899184581171238,center_leaning,unknown_quality
gemini,13,medicalnewstoday.com,2.8634519393486593,56,1.0378057820607858,center_leaning,high_quality
gemini,14,cbsnews.com,2.7814219365107147,109,2.0200148257968866,center_leaning,high_quality
gemini,15,reliefweb.int,2.7063476777567774,12,0.2223869532987398,left_leaning,unknown_quality
gemini,16,infobae.com,2.6959170276651103,26,0.48183839881393625,center_leaning,high_quality
gemini,17,fool.com,2.632731606052732,13,0.24091919940696813,center_leaning,high_quality
gemini,18,timesofisrael.com,2.6031053638933455,16,0.2965159377316531,center_leaning,high_quality
gemini,19,dexerto.com,2.589420261781609,12,0.2223869532987398,center_leaning,unknown_quality
gemini,20,techradar.com,2.587205588721603,101,1.8717568569310599,center_leaning,high_quality
perplexity,1,bbc.com,9.673403197789147,639,3.2230404519318063,center_leaning,high_quality
perplexity,2,nytimes.com,8.405172459736466,337,1.6997881569656006,center_leaning,high_quality
perplexity,3,yahoo.com,7.698067658759158,536,2.7035206294764453,center_leaning,high_quality
perplexity,4,espn.com,6.469246213834567,280,1.4122868959951578,center_leaning,high_quality
perplexity,5,cnn.com,6.069011726802327,325,1.6392615757086653,center_leaning,high_quality
perplexity,6,cnbc.com,5.833756918212698,164,0.8271966105114495,center_leaning,high_quality
perplexity,7,sohu.com,5.803378212975755,389,1.9620700090789873,center_leaning,low_quality
perplexity,8,163.com,5.765141556181989,389,1.9620700090789873,center_leaning,unknown_quality
perplexity,9,economictimes.com,5.528315469290945,155,0.7818016745687482,center_leaning,unknown_quality
perplexity,10,techcrunch.com,5.418760936728451,174,0.8776354282255624,center_leaning,high_quality
perplexity,11,nbcnews.com,5.152710630115734,157,0.7918894381115706,center_leaning,high_quality
perplexity,12,usatoday.com,4.9149100461778845,142,0.7162312115404015,center_leaning,high_quality
perplexity,13,rbc.ru,4.789276457345967,248,1.250882679309997,left_leaning,unknown_quality
perplexity,14,accuweather.com,4.709564281734381,129,0.6506607485120549,center_leaning,high_quality
perplexity,15,globo.com,4.697991691150001,145,0.7313628568546353,left_leaning,unknown_quality
perplexity,16,npr.org,4.687627175827333,128,0.6456168667406436,center_leaning,high_quality
perplexity,17,dw.com,4.554196307968382,132,0.6657923938262887,center_leaning,high_quality
perplexity,18,wsj.com,4.360195639704192,92,0.46403712296983757,center_leaning,high_quality
perplexity,19,euronews.com,4.10071467937825,125,0.6304852214264097,center_leaning,high_quality
perplexity,20,sina.com.cn,3.8214678203701413,293,1.4778573590235045,left_leaning,unknown_quality
